id,name,subject,max_capacity,prerequisites,grade_levels
MATH_ALG1,Algebra I,Math,25,"MATH_PRE_ALG","9,10"
MATH_GEOM,Geometry,Math,25,"MATH_ALG1","10,11"
MATH_ALG2,Algebra II,Math,25,"MATH_GEOM","11,12"
MATH_CALC,Calculus,Math,20,"MATH_ALG2",12
ENG_9,English 9,English,28,"","9"
ENG_10,English 10,English,28,"ENG_9","10"
ENG_11,English 11,English,28,"ENG_10","11"
ENG_12,English 12,English,28,"ENG_11","12"
SCI_BIO,Biology,Science,24,"","9,10"
SCI_CHEM,Chemistry,Science,20,"SCI_BIO","10,11"
SCI_PHYS,Physics,Science,20,"SCI_CHEM","11,12"
SCI_ENVIR,Environmental Science,Science,25,"SCI_BIO","11,12"
HIST_WORLD,World History,History,30,"","9"
HIST_US,US History,History,30,"HIST_WORLD","10"
HIST_GOV,Government,History,30,"HIST_US","11"
ECON,Economics,Economics,30,"HIST_GOV","12"
PE_9,Physical Education 9,PE,35,"","9"
PE_10,Physical Education 10,PE,35,"","10"
PE_11,Physical Education 11,PE,35,"","11"
PE_12,Physical Education 12,PE,35,"","12"
ART_INTRO,Introduction to Art,Art,20,"","9,10,11,12"
ART_ADV,Advanced Art,Art,15,"ART_INTRO","11,12"
MUSIC_BAND,Concert Band,Music,40,"","9,10,11,12"
MUSIC_CHOIR,Choir,Music,40,"","9,10,11,12"
COMP_INTRO,Introduction to Computer Science,Computer Science,24,"","10,11,12"
COMP_PROG,Programming,Computer Science,20,"COMP_INTRO","11,12"
SPAN_1,Spanish I,Spanish,25,"","9,10,11,12"
SPAN_2,Spanish II,Spanish,25,"SPAN_1","10,11,12"
SPAN_3,Spanish III,Spanish,25,"SPAN_2","11,12"
